rgm_ppg,subcategory_nm,format,brand_nm,uom,pack_size,pack_count,total_revenue,group,group_name,price_tier,shelf_presence,bumpiness,price_moves,growth,seasonality,shelf_trend,promo_activity,promo_share,promo_lift
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_42E7BE8A | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,40,1,5110443.5573,1,Steady core,0.7986,92.1802,0.1629,0.0832,0.0048,0.1194,0.124,10.8219,0.0726,-0.1256
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_43CEB958 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,50,1,1169333.73,1,Steady core,0.7292,73.6889,0.3267,0.3401,0.007,0.048,-0.6328,14.0849,0.1844,-0.3373
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,30,1,4522723.5257,1,Steady core,0.5243,65.5453,0.4583,0.3227,-0.0019,0.3123,-0.0096,9.6949,0.1016,0.0282
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,40,1,4537344.9787,1,Steady core,0.4896,86.1808,0.4426,0.3664,0.0093,0.2489,0.0547,7.7382,0.0664,0.0671
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_F4D31E69 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_7FC8EF04,CT,45,1,1514647.6075,1,Steady core,0.5,89.9627,0.1585,0.1662,0.0004,0.2808,0.074,13.4365,0.133,0.0869
PPG_ATTR1_9741B3F8 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_44D0B11B | PPG_ATTR4_AE186179 | PPG_ATTR5_9A2579F2 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_44D0B11B,CT,42,1,1757382.5573,1,Steady core,0.4306,24.746,0.5823,0.3802,-0.0157,0.1339,0.3158,1.0215,0.0399,-0.0154
PPG_ATTR1_9741B3F8 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_44D0B11B | PPG_ATTR4_AE186179 | PPG_ATTR5_CA7A0EB9 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_65ED6200 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS WITH SOLUBLE FILM,HASH_44D0B11B,CT,42,1,56491.67,1,Steady core,0.4236,39.9861,0.0924,0.2274,0.0033,0.0,1.072,2.0909,0.0507,
PPG_ATTR1_9741B3F8 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_44D0B11B | PPG_ATTR4_AE186179 | PPG_ATTR5_DD97CBF2 | PPG_ATTR6_92B72C5A | PPG_ATTR7_8CCB97F4 | PPG_ATTR8_CD4F119F | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_44D0B11B,CT,100,1,1149223.83,1,Steady core,0.2188,6.3657,0.2626,0.6675,0.003,0.6332,-0.0097,1.0275,0.1838,-0.6104
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_0D368909 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_B761A5EE | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_9DC591A2,ML,450,1,864194.1524,1,Steady core,0.8095,45.9234,0.2438,0.21,0.0086,0.0641,-0.0051,16.9599,0.4015,0.3171
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_0D368909 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_E8FEB8CF | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_9DC591A2,ML,500,1,970040.8,1,Steady core,0.619,38.2764,0.3338,0.3833,0.005,0.3903,-0.3852,10.5912,0.3269,-0.2411
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_2394847F | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_556A0B88 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,72,1,321156.4105,1,Steady core,0.4062,34.2561,0.1997,0.5851,0.016,0.0719,0.192,13.198,0.4489,0.1031
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_8B0ED6E2 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,24,1,766416.3608,1,Steady core,0.934,32.6971,0.3441,0.2907,0.0083,0.1121,0.6653,11.5191,0.4871,0.1493
PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_8B0ED6E2 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_9DC591A2,CT,25,1,766329.75,1,Steady core,0.7708,13.1221,0.1539,0.3328,0.0022,0.3623,0.0075,4.6169,0.3745,-0.0583
